,source,reference,translation,metric
0,"Památník, důstojné pietní místo, stojí vůlí dějin prakticky v bezprostřední blízkosti proběhlé tragédie a kdokoliv chce, může se zde památce trpících a zavražděných poklonit.","The monument, a dignified piecemeal place, stands by the will of history practically in the immediate vicinity of the tragedy, and whoever wants it may bow to the memory of the sufferers and the murdered.","The memorial, a solemn place of commemoration, stands there thanks to the will of history, almost in the immediate vicinity of the tragedy, and anyone who wants to can go there to pay tribute to the memory of those who suffered and were killed.",0.09705700725317
1,"Pracovník centra Čang Č-čung sdělil agentuře Nová Čína, že chovu pand hrozí velké riziko plynoucí z příbuzenského křížení.",Centre worker Zhang Zu-chung told the New China news agency that the breeding of the pand was at great risk from the kinship crossing.,Centre worker Chang Chi-Chung told New China that panda breeding is at risk of inbreeding.,0.4236707687377929
2,"Veterináři nicméně odeberou namátkové vzorky vajec a kuřecího masa původem z Belgie, Nizozemska, Francie, Itálie, Německa a Polska, na jejichž trzích se objevily problémové značky insekticidu.","However, veterinarians take random samples of eggs and chicken meat originating in Belgium, the Netherlands, France, Italy, Germany and Poland, on whose markets the problem brands of the insecticide have appeared.","However, veterinarians are taking samples of eggs and chicken meat from Belgium, the Netherlands, France, Italy, Germany and Poland, countries in which products with problematic insecticides have been found on the market.",0.2644852101802826
3,Uživatel @TheePharoah jí neustále retweetoval příspěvky na zeď.,User @ TheePharoah constantly retweeted her posts on the wall.,A user with the handle @TheePharoah was being constantly retweeted onto her timeline.,0.2042070925235748
4,"Lucii bylo tehdy pouhých 19 let a rozhodně netoužila po tom, pověsit svou kariéru na hřebík.",Lucia was only 19 at the time and certainly had no desire to hang her career on the nail.,"At that time, Lucie was only 19 years old, and she definitely did not want put the brakes on her career.",-0.1829041540622711
5,Je bojovník.,He's a fighter.,He's a fighter.,-0.9923187494277954
6,"O tři týdny později přednesl Jokowi v Jayapuře vášnivou řeč a vyjádřil své pochopení pro rodiny obětí a slíbil, že se bude zabývat násilím v Papui.","Three weeks later, Jokowi delivered an impassioned speech in Jayapura and expressed his sympathy for the families of the victims and promised to address the violence in Papua.","Three weeks later, Jokowi gave an impassioned speech in Jayapura, where he expressed sympathies with the victims' families and vowed to address the historic abuses in Papua.",0.78731769323349
7,"Forenzní lékařské agentura Agency's GÃ¶ransson obhajovala rozhodnutí slovy: „Obecně lze říci, že riziko nesprávného posouzení dítěte jako dospělého je malé.","Forensic medical agency Agency's Gì¶ ransson defended the decision with the words: ""In general, the risk of misassessing a child as an adult is small.","The Forensic Medicine Agency's Göransson defended the accuracy of the tests however: ""In general you can say that the risk of inaccurately judging a child to be an adult is small.",0.2466051280498504
8,Původní posádka zůstala toho večera na místě spolu s helikoptérou a spolu s nimi také jednotka bezpečnostních pracovníků.,"The original crew remained at the scene that evening along with the helicopter and, along with them, a unit of security personnel.","The original flight crew was with the helicopter during the event, while unit security personnel remained with the aircraft while it was the ground.",-0.4552781879901886
9,"„Věříme, že profesor Latham svou oběť znal,“ uvedl Guglielmi.","""We believe Professor Latham knew his victim,"" Guglielmi stated.","""We believe Professor Latham and the victim had a relationship,"" Guglielmi said.",0.2210965156555175
10,"O několik týdnů později se Ferrellová během večerní demonstrace seznámila s pozdější spolurežisérkou dokumentu, Sabaah Folayanovou.","Weeks later, during an evening demonstration, Ferrell met the later co-director of the documentary, Sabaah Folayan.","Weeks later, Ferrell met Sabaah Folayan, one of the film's co-directors, during an evening demonstration.",0.4417682290077209
