source,reference,translation,metric
"One local resident who did not wish to be named said: 'It is ridiculous, we have only just seen the last round of these travellers leaving, only to be blighted by another round.","Eräs paikallinen asukas, joka ei halunnut nimeään, sanoi: ""Se on naurettavaa, olemme juuri nähneet näiden matkustajien viimeisen kierroksen poistuvan, vain toisen kierroksen.","Toisen nimettömänä pysyttelevän asukkaan mukaan on naurettavaa, että kiertolaiset palasivat näin pian sen jälkeen, kun heidät ajettiin pois.",-1.1116931655872384
"Still, she clings to a chant she's committed to memory since taking to Ferguson's streets a full three years ago.","Silti hän takertuu chant hän on sitoutunut muisti sen jälkeen, kun ottaa Fergusonin kaduilla täydet kolme vuotta sitten.","Silti hän luottaa edelleen iskulauseeseen, jonka hän oppi ulkoa Fergusonin kaduilla kolme vuotta sitten:",0.15921592348368466
"I don't want to be asked, 'What were you doing in the face of so much death ... why didn't you say what was going on?'""","En halua, että minulta kysytään: ""Mitä te teitte niin suuren kuoleman edessä... miksi ette sanoneet, mitä oli tekeillä?""","En halua, että kenenkään tarvitsee kysyä minulta, missä olin, kun täällä kylvettiin kuolemaa – miksi en kertonut, mitä oli meneillään?”",-0.6236680200168192
"""I wouldn't say it was a lie – that's a pretty bold accusation.","""En sanoisi, että se oli valhe - se on aika rohkea syytös.","En sanoisi, että se oli valhe, se on aika kova syytös.",1.8078004194479211
Kari Kola took part in the opening ceremony of the Year of Light in 2015 when he illuminated UNESCO's headquarters.,"Kari Kola osallistui valon vuoden avajaisiin vuonna 2015, kun hän valaisi Unescon päämajaa.","Kari Kola oli mukana Valon teemavuoden avajaisissa vuonna 2015, jolloin hän valaisi juhlapäivän kunniaksi Unescon päämajan.",0.599591696359762
"""This fight could be on pay-per-view because all the fans have been asking about it,"" Garcia said, later expressing openness to fighting on whatever network offers the best financial package.","""Tämä taistelu voisi olla palkka-per-näkemys, koska kaikki fanit ovat kyselleet siitä"", Garcia sanoi, myöhemmin ilmaista avoimuutta taistella mikä tahansa verkko tarjoaa parhaan rahoituspaketin.","”Ottelu voisi olla maksukanavalla, koska fanit ovat pyytäneet sitä”, Garcia sanoi ja ilmoitti myöhemmin olevansa valmis ottelemaan kanavalla, joka tarjoaa parhaan palkintopaketin.",-0.2932168634845332
"""I'm a former featherweight,"" Garcia reminded.","""Olen entinen höyhenpainija"", Garcia muistutti.","”Olen entinen höyhensarjalainen”, Garcia muistutti.",1.7147344704785268
"""I said n---a, get off my property!""","""Sanoin n---a, päästä pois omaisuuteni!""","”Etkö kuullut? Sanoin, että poistu mailtani, n---u!”",-1.2791949744797166
"""Hang yourself, jump off a building, stab yourself I don't know there's a lot of ways,"" she said in several messages sent in the two weeks before his death while he was on holiday with his family.","Hän sanoi useissa viesteissä, jotka lähetettiin kahden viikon aikana ennen kuolemaansa, kun hän oli lomalla perheensä kanssa.","”Hirtä itsesi, hyppää katolta, puukota itseäsi. En minä tiedä, tapoja on monia”, Carter kirjoitti monissa viesteissä, joita hän oli lähettänyt Roylle tämän kuolemaa edeltäneiden kahden viikon aikana. Roy oli tuolloin lomalla perheensä kanssa.",0.04199421642639135
"Talking to Russian outlet RSport earlier in the day, Smirnov admitted past problems in Russian anti-doping bodies, but added: ""We have said on numerous occasions, that the report contains controversial positions and regulations.","Puhuessaan venäläiselle outlet RSportille aiemmin päivällä Smirnov myönsi aiemmat ongelmat Venäjän antidopingelimissä, mutta lisäsi: ""Olemme sanoneet useaan otteeseen, että mietintö sisältää ristiriitaisia kantoja ja määräyksiä.","Aiemmin samana päivänä venäläiselle RSport-urheilumedialle puhunut Smirnov myönsi, että Venäjän antidopingelimissä on ollut ongelmia. ”Olemme sanoneet useita kertoja, että raportissa on kiistanalaisia kannanottoja ja säännöksiä.",0.08077526754872935
